num,fire,CFI1,CFI2,Fire.type,ROS,SFC,SFC.CLS,SFC.LF,CFC,Fire.intensity,Date,MC.SA,MC.SA_season,MC.SA_dens,MC.SA_stand,FSG1,FSG2,FMC,SH,ws,FFMC,ISI,DMC,DC,BUI,FWI,ExpProject,MC.FFMC,Site,T,RH,EFFM,Plot.sz,Plot.lg,Ig.time,Ig.type,Site.Lat,Site.Long,Site.elev,Grass.Cure
57,BIG FISH LK PROJECT EXP FIRE P21,1,NA,AC,15,1.07,2,0,1.14,9945,1985-08-17,13.28973338,2,1,5,0.96,NA,120,3,16,89.1,8.4,11,257,20,12,Bigfish Lk & Other (BS),11.78788694,1,23.5,37,8,NA,NA,NA,L,59.2,-116,835,NA
58,BIG FISH LK PROJECT EXP FIRE P04 A,0,NA,S,4,0.93,1,0,0.34,1524,1986-07-17,16.72793766,2,1,5,0.66,NA,96.8125,2.9,13,85.8,4.5,9,69,13,6,Bigfish Lk & Other (BS),15.39876118,1,20,56,11,NA,NA,NA,L,59.2,-116,835,NA
59,BIG FISH LK PROJECT EXP FIRE P18,0,NA,S,5.2,0.94,1,0,0.66,2496,1986-07-21,16.71666071,2,1,5,0.98,NA,100.8949,3,14,85.2,4.4,12,96,18,7,Bigfish Lk & Other (BS),16.07297858,1,22.5,58,11,NA,NA,NA,L,59.2,-116,835,NA
60,BIG FISH LK PROJECT EXP FIRE P17,1,NA,AC,10.7,1.51,2,0,0.54,6581,1986-08-03,10.90782867,2,1,5,0.93,NA,115.2368,3.2,5,91,6.3,16,103,24,11,Bigfish Lk & Other (BS),9.780730897,1,27.5,36,8,NA,NA,NA,L,59.2,-116,835,NA
61,RGN/MEA HONDO EXP FIRE #1 ALTA,1,NA,PC,6.4,1.67,2,0,1.27,5645,1978-07-26,11.11599248,2,2,5,1.9,NA,109,5.3,5,90.2,5.6,44,306,65,17,Bigfish Lk & Other (BS),10.61963928,7,26.5,42,9,900,30,NA,LN,55.4,-114.5,NA,NA
62,RGN/MEA HONDO EXP FIRE #2 ALTA,1,NA,AC,7.5,2.29,3,0,1.2,7853,1978-07-26,11.11599248,2,2,5,1.4,NA,109,4.2,5,90.2,5.6,44,306,65,17,Bigfish Lk & Other (BS),10.61963928,7,26.5,42,9,900,30,NA,LN,55.4,-114.5,NA,NA
63,ADK STEEN R EXP FIRE ALTA,1,NA,PC,6.6,1.88,2,0,0.24,4198,1972-07-13,11.20922515,2,2,5,1.5,NA,79,4.4,18.7,91.2,13.3,27,250,43,25,Bigfish Lk & Other (BS),9.572395488,8,22.8,38,8,2000,50,13:00,P,59.6,-117.2,305,NA
64,DARWIN LAKE #4A,0,NA,S,2,1.54,2,0,0,924,1974-08-03,11.32873201,2,2,4,4.91,NA,118.2708,10.55,8.5,90.6,7.2,31,222,46,17,Darwin Lk (JP),10.19906729,2,29,40,9,15000,122,14:50,LN,59.31,-111.04,246,NA
65,DARWIN LAKE #4B,1,NA,PC,3.3,1.86,2,0,NA,1841,1974-08-04,7.898503403,2,2,4,4.91,NA,118.7048,10.55,8.5,93.6,10.9,36,231,52,20,Darwin Lk (JP),7.114826911,2,31,26,7,15000,122,14:00,LN,59.31,-111.04,246,NA
66,DARWIN LAKE #6,1,NA,PC,6.1,3.23,3,0,0.69,7174,1974-08-05,6.978263307,2,1,4,6.25,NA,119.0812,13.82,16.9,93.7,16.9,41,239,57,24,Darwin Lk (JP),7.014099217,2,31.5,33,7,15000,122,13:30,LN,59.31,-111.04,246,NA
67,DARWIN LAKE #7,0,NA,S,2,2.03,3,0,0,1218,1974-08-06,8.830161183,2,1,4,6.35,NA,120,14.17,8.5,90.9,7.5,43,246,60,34,Darwin Lk (JP),9.885106383,2,23,46,10,15000,122,13:52,LN,59.31,-111.04,246,NA
68,GL-A,0,NA,S,12,1.22,2,0,NA,4800,1964-05-07,7.222682426,1,2,4,12,NA,100,20,23,92.4,19.22,54,102,54,36,PNFI (JP),8.333903884,6,27.2,25,7,40000,305,14:18,WF,46,-77.45,156,NA
69,GL-B,1,NA,AC,24.6,1.22,2,0,NA,18300,1964-05-07,7.385251226,1,3,4,6,NA,100,18,23,92.4,19.22,54,102,54,36,PNFI (RP),8.333903884,6,27.2,25,7,209140,457,14:30,WF,46,-77.45,156,NA
70,PORTER LK#L1,1,NA,PC,6.1,1.12,2,0,0.62,3168,1982-06-30,7.470826923,2,1,5,0.9,NA,85.0756,4.1,20.4,92.1,16.1,62,204,70,25,Porter Lk (BS),8.641688654,9,26.5,30,8,2600,65,15:40,LN,61.8,-107.86,371,NA
71,PORTER LK#L2,1,NA,AC,26.3,1.42,2,0,0.31,13530,1982-07-01,6.894437172,2,1,5,0.8,NA,85.1701,4.3,24,92.8,21.3,66,212,75,37,Porter Lk (BS),7.925410374,9,24.5,25,7,2600,65,15:29,LN,61.8,-107.86,371,NA
72,PORTER LK#L3,1,NA,PC,3.5,1.55,2,0,0.48,2111,1982-07-05,9.714585493,2,1,5,1,NA,85.9261,5.3,17,89.4,9.3,51,240,67,26,Porter Lk (BS),11.46756212,9,20,28,8,3250,65,14:03,LN,61.8,-107.86,371,NA
73,PORTER LK#L4,1,NA,PC,3.7,1.18,2,0,0.35,1685,1982-07-06,9.06778838,2,1,5,0.8,NA,86.2096,4.1,14.5,90.1,9.1,55,247,70,23,Porter Lk (BS),10.72513369,9,21.5,36,8,2600,65,15:19,LN,61.8,-107.86,371,NA
74,PORTER LK#L5,1,NA,AC,33.3,1.21,2,0,0.6,17777,1982-07-07,7.620977284,2,1,5,1.1,NA,86.5309,5.8,28,92,23.5,59,256,75,32,Porter Lk (BS),8.744554455,9,27.5,31,8,6500,100,15:17,LN,61.8,-107.86,371,NA
75,PORTER LK#L5A,1,NA,AC,51.4,1.39,2,0,0.76,32367,1982-07-07,7.690500086,2,1,5,1,NA,86.5309,4.7,34.6,91.9,32.9,59,256,75,32,Porter Lk (BS),8.847556143,9,27.5,31,8,65000,360,15:24,AC,61.8,-107.86,371,NA
76,PORTER LK#-CR-6,1,NA,AC,31.9,1.4,2,0,NA,19332,1982-07-07,7.620977284,2,1,5,1,NA,86.5309,4.7,26,92,20.4,59,256,75,32,Porter Lk (BS),8.744554455,9,27,32,8,2520000,4210,15:31,WF,61.8,-107.86,371,NA
77,ICFME-A,1,1,AC,56.2,2.433,3,0.021285706,2.172,77688,1997-07-01,10.32516727,2,3,4.5,0.9,5.8,76.97777778,10.9,15.9,91.8,12.2,35,348,56,26,ICFME (JP/BS),8.950693985,3,22.3,28,5,5625,75,14:26,L,61.58,-117.16,193,NA
78,ICFME-1,1,1,AC,35.3,2.437,3,0.071133692,2.164,48697,2000-06-17,7.323836906,2,3,4.5,2.4,3.8,74.30680934,9.3,10,92.8,10.6,84,371,108,34,ICFME (JP/BS),7.925410374,3,26.2,29,5,22500,150,16:01,L,61.58,-117.16,193,NA
79,ICFME-2,1,1,PC,15.8,1.548,2,0.022250086,1.283,13402,1999-06-29,12.66409312,2,3,4.5,1.8,4.8,78.06316832,10.7,7.9,89.5,5.9,54,380,80,19,ICFME (JP/BS),11.36107383,3,20.6,47,8,22500,150,14:20,L,61.58,-117.16,193,NA
80,ICFME-3,1,NA,AC,24.3,3.832,3,0.421441064,1.208,36902,2000-06-28,8.003046513,2,2,4,8.2,NA,81.05,11.9,11.1,93.2,11.8,65,404,93,34,ICFME (JP/BS),7.519056974,3,31.4,23,4,22500,150,15:05,L,61.58,-117.16,193,NA
81,ICFME-4,1,NA,AC,44.6,2.911,3,0.159770883,1.064,53162,1999-06-20,8.516571079,2,2,4,7,NA,81.71946748,11.1,14.6,92.6,12.9,70,341,93,35,ICFME (JP/BS),8.12938856,3,25.4,48,8,22500,150,15:02,L,61.58,-117.16,193,NA
82,ICFME-5,1,1,AC,28.9,3.37,3,0.028787723,2.178,48134,1997-07-04,13.49859798,2,3,4.5,0.7,2.45,74.20573028,10,12.6,89.4,7.4,43,370,67,20,ICFME (JP/BS),11.46756212,3,20.6,37,7,22500,150,17:30,L,61.58,-117.16,193,NA
83,ICFME-6,1,1,AC,36,2.248,3,0.02686665,2.078,46721,1997-07-09,11.83142324,2,3,4.5,0.7,5.2,88.70137986,8.8,17.2,89.9,9.9,59,410,86,29,ICFME (JP/BS),10.93654618,3,24,44,7,22500,150,14:06,L,61.58,-117.16,193,NA
84,ICFME-7,1,1,AC,69.2,2.379,3,0.028074597,2.125,93476,1998-07-05,8.904706953,2,3,4.5,1.3,5.05,86.96941041,10.1,17.1,92.5,14.4,42,352,65,33,ICFME (JP/BS),8.231578947,3,29.8,38,6,22500,150,16:42,L,61.58,-117.16,193,NA
85,ICFME-8A,1,1,AC,24.3,2.577,3,0.038512235,2.131,34421,1998-07-04,10.04715271,2,3,4.5,1.7,3.55,92.08195303,7.8,11,91.9,9.6,37,343,58,24,ICFME (JP/BS),8.847556143,3,30.2,26,5,22500,150,16:04,L,61.58,-117.16,193,NA
86,ICFME-8B,1,1,AC,54,2.577,3,0.038512235,2.131,76270,1998-07-04,10.04715271,2,3,4.5,1.7,3.55,92.08195303,7.8,14.3,91.9,11.4,37,343,58,27,ICFME (JP/BS),8.847556143,3,30.2,26,5,22500,150,16:04,L,61.58,-117.16,193,NA
87,ICFME-9,1,1,AC,69.8,2.678,3,0.089099346,1.606,89681,1999-06-19,6.34603233,2,2,4.5,2.4,4.1,77.82772765,10.7,25,94.2,27,66,332,88,56,ICFME (JP/BS),6.512426805,3,31.4,23,4,10000,100,16:08,L,61.58,-117.16,193,NA
