"","num","fire","CFI1","Fire.type","ROS","SFC","SFC.CLS","SFC.LF","CFC","Fire.intensity","Date","MC.SA","MC.SA_season","MC.SA_dens","MC.SA_stand","FSG1","FSG2","FMC","SH","ws","FFMC","ISI","DMC","DC","BUI","FWI","ExpProject","MC.FFMC","Site","T","RH","Grass.Cure","Plot.Wd","isi.m","FT","CF"
"65",209,"DQ  HONDO EXP FIRE #B6 ASPEN ALTA",0,"S",0.5,0.12,NA,NA,0,0,1972-05-15,9.452024623,1,1,1,NA,NA,NA,NA,9.1,91.2,8,33,62,33,15,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,8.18291037065336,"Decid",NA
"66",210,"DQ  HONDO EXP FIRE #B2 ASPEN ALTA",0,"S",0.8,0.26,NA,NA,0,78,1972-05-09,10.77888416,1,1,1,NA,NA,NA,NA,2.7,91.7,6.3,14,29,14,8,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,4.94675693443112,"Decid",NA
"67",211,"DQ  HONDO EXP FIRE #A5 ASPEN ALTA",0,"S",0.8,0.31,NA,NA,0,93,1972-05-12,10.19521498,1,1,1,NA,NA,NA,NA,8.5,91.2,7.8,23,45,23,12,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,7.17297681738709,"Decid",NA
"68",212,"DQ  HONDO EXP FIRE #B5 ASPEN ALTA",0,"S",0.8,0.3,NA,NA,0,90,1972-05-12,9.820488188,1,1,1,NA,NA,NA,NA,7.5,91.7,8,24,46,24,13,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,7.17816494325244,"Decid",NA
"69",213,"DQ  HONDO EXP FIRE #A2 ASPEN ALTA",0,"S",0.9,0.27,NA,NA,0,81,1972-05-09,11.0337472,1,1,1,NA,NA,NA,NA,6.4,91.3,7.1,14,30,14,9,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,5.75840614860637,"Decid",NA
"70",214,"DQ  HONDO EXP FIRE #A3 ASPEN ALTA",0,"S",0.9,0.31,NA,NA,0,93,1972-05-10,9.919324544,1,1,1,NA,NA,NA,NA,13.9,92.4,12.1,18,35,18,15,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,9.77712720452596,"Decid",NA
"71",215,"DQ  HONDO EXP FIRE #C3 ASPEN ALTA",0,"S",1.4,0.51,NA,NA,0,153,1972-05-10,9.919324544,1,1,1,NA,NA,NA,NA,5.3,92.4,7.9,18,35,18,11,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,6.33881409079474,"Decid",NA
"72",216,"DQ  HONDO EXP FIRE #C4 ASPEN ALTA",0,"S",1.5,0.54,NA,NA,0,324,1972-05-11,9.834130611,1,1,1,NA,NA,NA,NA,9.6,92.1,9.4,21,41,21,14,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,7.9645437368179,"Decid",NA
"73",217,"DQ  HONDO EXP FIRE #A4 ASPEN ALTA",0,"S",1.6,0.56,NA,NA,0,336,1972-05-11,9.587637081,1,1,1,NA,NA,NA,NA,11.7,92.5,11,21,41,21,15,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,9.15688895932216,"Decid",NA
"74",218,"DQ  HONDO EXP FIRE #B4 ASPEN ALTA",0,"S",2.1,0.54,NA,NA,0,324,1972-05-11,9.209155048,1,1,1,NA,NA,NA,NA,13.3,93.1,13,21,41,21,18,"Hondo (D1)",NA,NA,NA,NA,NA,33.33,10.4536621697808,"Decid",NA
